rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
138,2016,Albany Law School,31,1.7,2.5,2.9,3.51,148,154,38.3,68.4,61,14.4,79.8,76,3.205,151
138,2016,Pace University,31,1.9,2.3,2.9,3.55,148,153,28.0875,52.7,62,9.8,79.3,76,3.225,150.5
138,2016,University of North Dakota,31,1.9,2.6,2.94,3.61,143,152,32.58,73,54,13.6,75.9,80,3.275,147.5
138,2016,University of San Francisco,31,2.1,2.9,2.94,3.4,151,156,25.5,47.5,61,12.6,74.1,65,3.17,153.5
142,2016,University of Memphis,30,1.8,2.2,2.87,3.51,150,157,23.4,66.1,51,12.4,88,82,3.19,153.5
142,2016,University of Toledo,30,1.7,2.3,3.01,3.55,148,154,22.9,61,61,10.2,84.6,86,3.28,151
142,2016,William Mitchell College of Law,30,1.8,2.4,2.98,3.59,149,156,28.3,71.7,72,20.4,88.8,90,3.285,152.5
145,2016,Hamline University,29,1.7,2.4,2.99,3.46,146,155,23.2,69.2,70,16.8,83.7,90,3.225,150.5
145,2016,Ohio Northern University,29,1.5,2.1,2.86,3.58,144,152,47.17826,77.1,49,11.5,90.3,86,3.22,148
145,2016,University of Dayton,29,1.7,2.5,2.86,3.38,145,151,32.58,75.3,58,13.5,78.8,86,3.12,148
145,2016,University of South Dakota,29,1.8,2.3,2.71,3.44,144,152,59.2,83.1,82,11.6,97.4,91,3.075,148
149,2016,Oklahoma City University,27,1.5,2.3,2.79,3.41,145,151,47.17826,78.2,82,14.7,82.1,86,3.1,148
149,2016,Samford University,27,1.7,2.6,2.89,3.52,148,154,33.8,65.6,76,16.9,86.3,78,3.205,151
149,2016,South Texas College of Law,27,1.6,2.1,2.86,3.33,148,153,47.17826,77.3,66,18.2,88.1,85,3.095,150.5
149,2016,Southern Illinois University - Carbondale,27,1.7,2.3,2.71,3.45,144,151,29.5,79.1,85,12.1,88.9,88,3.08,147.5
149,2016,Texas A&M University,27,1.9,2,2.93,3.41,152,156,21,55.1,40,15.3,86.7,85,3.17,154
1,2015,Yale University,100,4.8,4.7,3.82,3.97,170,176,89.6,91.4,9.366704589,7.7,94.4,74,3.9,173
2,2015,Harvard University,96,4.8,4.8,3.77,3.95,170,175,91,94.1,15.6426618,11.9,96.99,74,3.88,173
3,2015,Stanford University,95,4.7,4.8,3.76,3.95,169,173,94.5,96.1,10.32938076,7.3,93.64,66,3.87,171
4,2015,Columbia University,92,4.6,4.7,3.54,3.81,169,173,94,97,19.57387029,11,94.62,87.34,3.7,171
4,2015,University of Chicago,92,4.6,4.7,3.67,3.95,166,172,93.2,96.7,21.32137312,7.3,95.3,74,3.9,170
6,2015,New York University,88,4.4,4.5,3.57,3.85,168,172,94.8,95.9,31.41361257,8.9,94.82,74,3.72,170
7,2015,University of Pennsylvania,86,4.3,4.4,3.55,3.94,165,171,95.2,97,17.2629188,10.4,93.24,74,3.89,169
8,2015,University of Virginia,84,4.3,4.5,3.52,3.94,164,170,97.5,97.3,17.70833333,11.3,96.12,77,3.87,169
9,2015,University of California - Berkeley,83,4.4,4.5,3.66,3.89,163,169,80.8,88.1,17.84197111,12.5,87.18,66,3.78,167
10,2015,Duke University,82,4.2,4.5,3.59,3.84,165,170,77.8,87.1,19.02672517,9.5,95.6,74,3.77,169
10,2015,University of Michigan - Ann Arbor,82,4.4,4.6,3.52,3.82,165,170,75,86.6,27.03589744,12.4,93.8,74,3.71,168
12,2015,Northwestern University,79,4.1,4.4,3.3,3.82,161,171,76.9,85.8,26.29048583,8.3,96.12,87.34,3.75,168
13,2015,Cornell University,76,4.1,4.4,3.52,3.73,165,167,77.9,85.8,29.93164063,10.3,91.6,74,3.66,167
13,2015,Georgetown University,76,4.1,4.4,3.49,3.83,163,169,77.3,84.3,31,11.2,90.04,74,3.75,168
15,2015,University of Texas - Austin,73,4,4.1,3.43,3.82,163,168,64.1,81.5,30.25310411,10.4,92.28,82.06,3.68,166
16,2015,UCLA,72,3.9,4.1,3.51,3.88,162,169,55.6,77.2,28.15533981,10.4,88.14,66,3.79,167
16,2015,Vanderbilt University,72,3.8,4.1,3.45,3.85,163,169,67.9,74.5,34.04126214,12.6,95.74,73,3.74,167
18,2015,Washington University in St. Louis,69,3.6,3.8,3.27,3.77,160,167,50.7,75,24.27664079,9.6,94.2,92.11,3.69,166
19,2015,Emory University,66,3.4,3.8,3.39,3.84,157,166,53.8,78.6,32.01754386,11,96.64,83.98,3.75,165
20,2015,George Washington University,65,3.4,3.7,3.42,3.82,159,167,85,91,41.54057772,15,90.51,74,3.71,165
20,2015,University of Minnesota - Twin Cities,65,3.5,3.7,3.43,3.9,156,167,66.1,75.2,30.78750849,11.1,99.28,90.66,3.79,164
20,2015,University of Southern California,65,3.5,3.8,3.5,3.79,163,167,58.8,72.4,29.25311203,11.4,87.23,66,3.7,166
23,2015,University of Alabama,64,3.1,3.3,3.42,3.94,157,166,65.1,86,24.55381287,10.7,96.49,76,3.86,164
